Food,energy,protein,fat,carbs,fiber,calcium,iron,vitamin_c,folate,vitamin_a,vitamin_e,is_alcohol,is_leafy_green,vitamin_k_proxy
Fish Gravy (Coconut Milk),153,0.7,7.2,22.7,0.7,7,0.54,0.6,4.8,0,0,0,0,0
Potato Gravy,116.90566,1.8358827,6.7187858,11.884914,1.5513738,94.305786,0.80682033,12.884363,13.499713,3.4330037,0.054754522,0,0,0
Jam,261,0.6,0,69,0,12,0.2,10,0,0,0,0,0,0
Marmalade,261,0.1,0,69.5,0,26,0.2,10,5,0,0,0,0,0
Treacle,257,1.2,0,67.2,0,550,14,0,0,0,0,0,0,0
Bee Honey,304,0.3,0,82.4,0.2,6,0.42,0.5,0,0,0,0,0,0
Date Chutney,229,0.3,0.1,60.6,0,19,0.43,7.7,0,0,0,0,0,0
Sweet Mango Chutney,129,0.8,0.6,32.2,2.2,27,0.61,37,14.7,49,0.5,0,0,0
Lime Pickle,55.76000214,1.014500022,0.377700001,11.22980022,2.754799843,34.83000183,0.292400002,40.51224899,11.58334064,5.879199982,0.4005,0,0,0
Clear Rasam (No Vegetables Or Dal),23,1.1,1,2.6,2.9,57,1.22,1.6,4.6,3,0.1,0,0,0
Rasam (With Vegetables),25.0543,0.85665798,0.76534396,3.4207509,2.4179299,43.085594,1.079055,0.81086582,2.5253572,2.6452725,0.067079999,0,0,0
Rasam (With Vegetables & Dal),88.854301,5.474658,0.91934401,14.036751,4.5159302,50.514194,2.4200549,0.81086582,9.6753578,2.8360724,0.10108,0,0,0
Chili Sambol,38,1.3,0.23,8.2,0,25.7,0.38,10.7,17.8,1.6,0,0,0,0
Chili Sambol (With Onion),41.086498,1.488193,0.246792,7.991982,2.3907671,15.536249,0.400002,20.094193,26.027134,4.8649669,0.085957006,0,0,0
Onion Sambol,42.995399,1.473649,0.226794,8.5292015,2.426218,15.453529,0.40818301,9.8752155,29.025925,0.16816401,0.073230997,0,0,0
Onion Sambol (With Oil),220,5.5,13.2,21.3,3.8,44,1.24,4.5,30.2,20,0.3,0,0,0
Coconut Sambol (With Coconut Oil),286,2.9,27.6,6.9,7.2,12,0.99,6.8,23.5,2,1.7,0,0,0
Coconut Sambol (Without Coconut Oil),266,3,25.3,7.1,7.4,13,1.02,10.1,24.2,2,1.7,0,0,0
Fish & Chili Sambol,90.396904,17.446064,1.1568199,2.5985579,1.515871,33.540745,1.1601419,74.366745,55.54269,30.659071,0.143177,0,0,0
